SA_Company,SA_ESG_Risk,SA_Industry
Walmart Inc.,27.2,Food Retailers
China Petroleum & Chemical Corp.,52.8,Oil & Gas Producers
Amazon.com Inc,30.9,Retailing
PetroChina Co Ltd,53.9,Oil & Gas Producers
,,
