fin_Company,Market Cap,Trailing P/E,Price/Book (mrq),Most Recent Quarter (mrq),Profit Margin,Op_Margin,ROA,ROE,Diluted EPS,Operating_CashFlow,Total Debt/Equity (mrq),PayoutRat,Stock Price,ESG
AIA Group Limited (AAGIY),145.85B,21.34,2.47,"Jun 29, 2021",12.40%,16.78%,1.86%,11.77%,2.26,2.18B,22.51,34.49%,48.23,
Reliance Industries Limited (RELIANCE.NS),15.08T,30.45,2.05,"Jun 30, 2021",9.29%,11.46%,N/A,N/A,73.25,N/A,32.54,9.56%,"2,230.45",35
,,,,,,,,,,,,,,
Pfizer Inc. (PFE),265.64B,20.23,3.79,"Jul 03, 2021",23.80%,27.32%,5.45%,18.35%,2.34,23.55B,55.81,70.64%,47.38,25
Pfizer Inc. (PFE),265.64B,20.23,3.79,"Jul 03, 2021",23.80%,27.32%,5.45%,18.35%,2.34,23.55B,55.81,70.64%,47.38,25
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"MetLife, Inc. (MET)",52.95B,12.58,0.77,"Jun 29, 2021",6.66%,9.75%,0.55%,6.39%,4.91,12.7B,157.93,37.42%,61.79,19
PetroChina Company Limited (PTR),121.03B,7.65,0.06,"Mar 30, 2021",3.18%,3.98%,1.87%,5.56%,5.20,334.87B,39.22,37.86%,39.79,
LVMH Moët Hennessy Louis Vuitton S.E. (MCP.SG),64.5B,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,128.42,32
NOVARTIS AG Nam.-Akt. (Sp.ADRs) (NOTA.SG),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78.00,
Taiwan Semiconductor Manufacturing Company Limited (TSM),612.48B,30.88,0.31,"Jun 29, 2021",38.15%,41.56%,13.62%,29.85%,3.83,864.56B,28.88,47.38%,118.10,
"The Home Depot, Inc. (HD)",339.28B,22.64,164.10,"Jul 31, 2021",10.55%,15.50%,20.86%,"1,841.81%",14.20,13.96B,"2,046.79",44.33%,321.48,12
"Shanghai Pudong Development Bank Co., Ltd. (600000.SS)",268.28B,5.17,0.43,"Mar 31, 2021",50.41%,57.05%,0.79%,9.68%,1.77,-95.7B,N/A,33.90%,9.14,
Siemens Aktiengesellschaft (SIEGY),130.48B,16.74,3.11,"Jun 29, 2021",10.98%,9.60%,2.51%,11.91%,4.88,10.24B,109.50,55.73%,81.62,
"PepsiCo, Inc. (PEP)",213.72B,26.11,13.97,"Jun 11, 2021",11.01%,15.68%,8.03%,59.04%,5.92,11.49B,274.70,69.97%,154.63,18
Oracle Corporation (ORCL),247.71B,19.50,47.67,"May 30, 2021",33.96%,38.67%,7.94%,147.26%,4.55,15.89B,"1,462.15",22.86%,88.72,18
