fin_Company,Market Cap,Trailing P/E,Price/Book (mrq),Most Recent Quarter (mrq),Profit Margin,Op_Margin,ROA,ROE,Diluted EPS,Operating_CashFlow,Total Debt/Equity (mrq),PayoutRat,Stock Price,ESG
Walmart Inc. (WMT),412.92B,41.47,5.12,"Jul 30, 2021",1.78%,5.29%,7.86%,12.32%,3.55,29.54B,69.87,61.24%,147.36,28
,,,,,,,,,,,,,,
AMAZON.COM INC AMAZON COM ORD ( (0R1O.IL),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,424.68",
PetroChina Company Limited (PTR),131.29B,4.99,0.06,"Jun 29, 2021",4.64%,5.68%,3.00%,8.92%,8.50,355.53B,36.85,31.49%,42.39,
,,,,,,,,,,,,,,
